Re.sort.ID	ERCC.ID	subgroup	concentration.in.Mix.1..attomoles.ul.	copy.number.for.10.pg.total.RNA	mollog	Length
70	ERCC-00002	D	15000	1806.642387	3.25711251645225	1061
72	ERCC-00003	D	937.5	112.9151492	2.05658148331064	1023
2	ERCC-00004	A	7500	903.3211935	2.95632270900358	523
26	ERCC-00009	B	937.5	112.9151492	2.05658148331064	984
67	ERCC-00012	C	0.11444092	0.013783588	0.00594525621197271	994
86	ERCC-00013	D	0.91552734	0.1102687	0.0454280966292475	808
82	ERCC-00014	D	3.66210938	0.441074802	0.158686524362006	1957
66	ERCC-00016	C	0.22888184	0.027567176	0.011810222969014	844
22	ERCC-00017	A	0.11444092	0.013783588	0.00594525621197271	1136
10	ERCC-00019	A	29.296875	3.528598412	0.655963809933291	644
74	ERCC-00022	D	234.375	28.2287873	1.46581079688861	751
65	ERCC-00024	C	0.22888184	0.027567176	0.011810222969014	536
30	ERCC-00025	B	58.59375	7.057196824	0.906183972869944	1994
15	ERCC-00028	A	3.66210938	0.441074802	0.158686524362006	1130
38	ERCC-00031	B	1.83105469	0.220537401	0.0865510920686903	1138
16	ERCC-00033	A	1.83105469	0.220537401	0.0865510920686903	2022
35	ERCC-00034	B	7.32421875	0.882149603	0.274654140438295	1019
29	ERCC-00035	B	117.1875	14.11439365	1.17939072910291	1130
60	ERCC-00039	C	3.66210938	0.441074802	0.158686524362006	740
63	ERCC-00040	C	0.91552734	0.1102687	0.0454280966292475	744
88	ERCC-00041	D	0.22888184	0.027567176	0.011810222969014	1122
27	ERCC-00042	B	468.75	56.45757459	1.75934728952208	1023
73	ERCC-00043	D	468.75	56.45757459	1.75934728952208	1023
52	ERCC-00044	C	117.1875	14.11439365	1.17939072910291	1156
71	ERCC-00046	D	3750	451.6605968	2.65577269167414	522
92	ERCC-00048	D	0.01430512	0.001722949	0.000747623369619655	992
31	ERCC-00051	B	58.59375	7.057196824	0.906183972869944	274
32	ERCC-00053	B	29.296875	3.528598412	0.655963809933291	1023
57	ERCC-00054	C	14.6484375	1.764299206	0.441585049006791	274
69	ERCC-00057	C	0.01430512	0.001722949	0.000747623369619655	1021
61	ERCC-00058	C	1.83105469	0.220537401	0.0865510920686903	1136
80	ERCC-00059	D	14.6484375	1.764299206	0.441585049006791	525
28	ERCC-00060	B	234.375	28.2287873	1.46581079688861	523
91	ERCC-00061	D	0.05722046	0.006891794	0.00298280144369455	1136
9	ERCC-00062	A	58.59375	7.057196824	0.906183972869944	1023
37	ERCC-00067	B	3.66210938	0.441074802	0.158686524362006	644
84	ERCC-00069	D	1.83105469	0.220537401	0.0865510920686903	1137
54	ERCC-00071	C	58.59375	7.057196824	0.906183972869944	642
40	ERCC-00073	B	0.91552734	0.1102687	0.0454280966292475	603
47	ERCC-00074	C	15000	1806.642387	3.25711251645225	522
46	ERCC-00075	B	0.01430512	0.001722949	0.000747623369619655	1023
51	ERCC-00076	C	234.375	28.2287873	1.46581079688861	642
83	ERCC-00077	D	3.66210938	0.441074802	0.158686524362006	273
78	ERCC-00078	D	29.296875	3.528598412	0.655963809933291	993
77	ERCC-00079	D	58.59375	7.057196824	0.906183972869944	644
89	ERCC-00081	D	0.22888184	0.027567176	0.011810222969014	534
23	ERCC-00083	A	0.02861023	0.003445897	0.0014939615093245	1022
55	ERCC-00084	C	29.296875	3.528598412	0.655963809933291	994
14	ERCC-00085	A	7.32421875	0.882149603	0.274654140438295	844
90	ERCC-00086	D	0.11444092	0.013783588	0.00594525621197271	1020
6	ERCC-00092	A	234.375	28.2287873	1.46581079688861	1124
7	ERCC-00095	A	117.1875	14.11439365	1.17939072910291	521
24	ERCC-00096	B	15000	1806.642387	3.25711251645225	1107
19	ERCC-00097	A	0.45776367	0.05513435	0.0233077617652772	523
68	ERCC-00098	C	0.05722046	0.006891794	0.00298280144369455	1143
56	ERCC-00099	C	14.6484375	1.764299206	0.441585049006791	1350
42	ERCC-00104	B	0.22888184	0.027567176	0.011810222969014	2022
