Re.sort.ID	ERCC.ID	subgroup	concentration.in.Mix.1..attomoles.ul.	Length
70	ERCC-00002	D	750	1061
72	ERCC-00003	D	46.875	1023
2	ERCC-00004	A	375	523
26	ERCC-00009	B	46.875	984
67	ERCC-00012	C	0.005722046	994
86	ERCC-00013	D	0.045776367	808
82	ERCC-00014	D	0.183105469	1957
66	ERCC-00016	C	0.011444092	844
22	ERCC-00017	A	0.005722046	1136
10	ERCC-00019	A	1.46484375	644
74	ERCC-00022	D	11.71875	751
65	ERCC-00024	C	0.011444092	536
30	ERCC-00025	B	2.9296875	1994
15	ERCC-00028	A	0.183105469	1130
38	ERCC-00031	B	0.0915527345	1138
16	ERCC-00033	A	0.0915527345	2022
35	ERCC-00034	B	0.3662109375	1019
29	ERCC-00035	B	5.859375	1130
60	ERCC-00039	C	0.183105469	740
63	ERCC-00040	C	0.045776367	744
88	ERCC-00041	D	0.011444092	1122
27	ERCC-00042	B	23.4375	1023
73	ERCC-00043	D	23.4375	1023
52	ERCC-00044	C	5.859375	1156
71	ERCC-00046	D	187.5	522
92	ERCC-00048	D	0.000715256	992
31	ERCC-00051	B	2.9296875	274
32	ERCC-00053	B	1.46484375	1023
57	ERCC-00054	C	0.732421875	274
69	ERCC-00057	C	0.000715256	1021
61	ERCC-00058	C	0.0915527345	1136
80	ERCC-00059	D	0.732421875	525
28	ERCC-00060	B	11.71875	523
91	ERCC-00061	D	0.002861023	1136
9	ERCC-00062	A	2.9296875	1023
37	ERCC-00067	B	0.183105469	644
84	ERCC-00069	D	0.0915527345	1137
54	ERCC-00071	C	2.9296875	642
40	ERCC-00073	B	0.045776367	603
47	ERCC-00074	C	750	522
46	ERCC-00075	B	0.000715256	1023
51	ERCC-00076	C	11.71875	642
83	ERCC-00077	D	0.183105469	273
78	ERCC-00078	D	1.46484375	993
77	ERCC-00079	D	2.9296875	644
89	ERCC-00081	D	0.011444092	534
23	ERCC-00083	A	0.0014305115	1022
55	ERCC-00084	C	1.46484375	994
14	ERCC-00085	A	0.3662109375	844
90	ERCC-00086	D	0.005722046	1020
6	ERCC-00092	A	11.71875	1124
7	ERCC-00095	A	5.859375	521
24	ERCC-00096	B	750	1107
19	ERCC-00097	A	0.0228881835	523
68	ERCC-00098	C	0.002861023	1143
56	ERCC-00099	C	0.732421875	1350
42	ERCC-00104	B	0.011444092	2022
4	ERCC-00108	A	46.875	1022
39	ERCC-00109	B	0.045776367	536
50	ERCC-00111	C	23.4375	994
75	ERCC-00112	D	5.859375	1136
48	ERCC-00113	C	187.5	840
5	ERCC-00116	A	23.4375	1991
45	ERCC-00117	B	0.002861023	1136
62	ERCC-00120	C	0.045776367	536
21	ERCC-00123	A	0.011444092	1022
34	ERCC-00126	B	0.732421875	1118
1	ERCC-00130	A	1500	1059
8	ERCC-00131	A	5.859375	771
17	ERCC-00134	A	0.0915527345	274
3	ERCC-00136	A	93.75	1033
85	ERCC-00137	D	0.045776367	537
44	ERCC-00138	B	0.005722046	1024
43	ERCC-00142	B	0.011444092	493
59	ERCC-00143	C	0.183105469	784
11	ERCC-00144	A	1.46484375	538
49	ERCC-00145	C	46.875	1042
18	ERCC-00147	A	0.045776367	1023
33	ERCC-00148	B	0.732421875	494
36	ERCC-00150	B	0.183105469	743
13	ERCC-00154	A	0.3662109375	537
20	ERCC-00156	A	0.0228881835	494
58	ERCC-00157	C	0.3662109375	1019
41	ERCC-00158	B	0.0228881835	1027
81	ERCC-00160	D	0.3662109375	743
53	ERCC-00162	C	2.9296875	523
79	ERCC-00163	D	0.732421875	543
64	ERCC-00164	C	0.0228881835	1022
76	ERCC-00165	D	2.9296875	872
87	ERCC-00168	D	0.0228881835	1024
12	ERCC-00170	A	0.732421875	1023
25	ERCC-00171	B	187.5	505
